"","V1","V2","V3","V4","V5","V6","V7"
"out",0,-0.0116682902412638,0.103016029722405,-0.0848038441531002,0.527720960256523,-0.446595432363047,0.579884001864619
"elt",0,-0.00435831318690448,0.102587823576415,-0.0846176101323871,0.505032966749614,-0.448737927349276,0.578143883033588
"elt",0,0.00288172965675223,0.102527622350961,-0.0833174956543839,0.482951843867773,-0.444013217925408,0.576093106545515
"elt",0,-0.0196945286090747,0.111006843729796,-0.0855682114322691,0.549407087578666,-0.422860696758287,0.61175849524747
"elt",0,-0.0119399153727612,0.110444855948729,-0.0861676050355542,0.527369477263581,-0.429707049523986,0.609636057822708
"elt",0,-0.00409174807039582,0.110135578039901,-0.0857600814956217,0.504674856624533,-0.430558589334304,0.607566088803866
"elt",0,0.00316427352465332,0.110037644262004,-0.084288978167489,0.483787701798848,-0.425280275613751,0.604906088781479
"elt",0,-0.0278809503588572,0.119045303366586,-0.0854280706834783,0.567806092705986,-0.397035136828917,0.644063641635806
"elt",0,-0.0201633167049366,0.118406867476533,-0.086431883986997,0.547992354831445,-0.406134216474076,0.640778578200417
"elt",0,-0.0119873631086627,0.118034107179586,-0.0868428304108461,0.526278790273542,-0.411418375225233,0.638528738484133
"elt",0,-0.00393477272555669,0.117800910357188,-0.0862358659498139,0.504495745331982,-0.41115718595229,0.635986931308318
"elt",0,0.00313628558712872,0.117643507041514,-0.0846222627739089,0.485279447523132,-0.405599278451528,0.63256461059285
"elt",0,-0.0352471000670016,0.126944100527476,-0.0841704294879669,0.581481239992923,-0.36996479481864,0.675125681926404
"elt",0,-0.0282484412589692,0.126281124578031,-0.0855211005121341,0.565086746553119,-0.380019428174013,0.671274932813204
"elt",0,-0.020321246565049,0.125867639468108,-0.0863498023319203,0.545790433026705,-0.387353246831686,0.668069473446318
"elt",0,-0.0120430582761503,0.125591721089475,-0.0865106401988734,0.525100966563388,-0.391047079565969,0.665250010614784
"elt",0,-0.0041414249938629,0.125312969301516,-0.0858042205318753,0.504997719747968,-0.390336191681974,0.661980577153984
"elt",0,0.00246670139275724,0.125059579860674,-0.084195134556783,0.488001741888671,-0.385184336130702,0.657863156552627
"elt",0,-0.0352187021771798,0.133685106385874,-0.0831109056597212,0.577626496026721,-0.352059202537729,0.698335906715678
