"","V1","V2","V3","V4","V5","V6","V7"
"out",0,-0.00788994258654425,0.0977749393141054,-0.0789195916265453,1.66785998557851,-0.711045734872303,0.120779212134404
"elt",0,0.000308512773929008,0.0984331833592529,-0.0795829750978859,1.58220277849694,-0.713926691932435,0.121227726377604
"elt",0,0.00848877816534053,0.0985869222944956,-0.0793956116540199,1.49632612392689,-0.712679823828167,0.120896401767233
"elt",0,-0.0159038286036981,0.105983681980275,-0.0792511625755386,1.73933077405396,-0.669439817169791,0.12771841293201
"elt",0,-0.00789979854808389,0.106714616041598,-0.0803660932708206,1.66104595923001,-0.675227973861076,0.128414717448091
"elt",0,0.000292780084042571,0.106926096439359,-0.080631158852952,1.58146758640267,-0.677515232614952,0.12845805246832
"elt",0,0.00838533455901718,0.106672569236266,-0.0801503509022342,1.50174696613057,-0.67631014000938,0.127865512830087
"elt",0,-0.0235693269003364,0.113499916813435,-0.0786952005907506,1.79965863700037,-0.629418928163401,0.133908546410853
"elt",0,-0.0158654621873916,0.114564790542825,-0.0804340914455891,1.7283649180003,-0.637214371437727,0.13484017042595
"elt",0,-0.00776843521365408,0.114914470334598,-0.0811125370173545,1.65511287367341,-0.6420148290571,0.13502890812651
"elt",0,0.000380611951611723,0.114712869111273,-0.0810155921306788,1.58083859040661,-0.643825426887896,0.134700472640669
"elt",0,0.00834825293077077,0.114062420683213,-0.0802784712244415,1.50647618590728,-0.642677108025152,0.133869086088518
"elt",0,-0.0308473529939898,0.119836659893457,-0.0772066240796798,1.8506893695343,-0.591385588186964,0.139292355751079
"elt",0,-0.0235389655759566,0.121609980849512,-0.079605857655122,1.78590543235317,-0.600567622494991,0.140536787616518
"elt",0,-0.0156564031923189,0.12230868419905,-0.0809018933004162,1.71871461441564,-0.607151983774282,0.140878816846722
"elt",0,-0.00753866856443695,0.122262155454661,-0.0812034369522479,1.64992929731889,-0.611148994626722,0.140617499008494
"elt",0,0.000524496275061792,0.121668980609394,-0.0808057276498677,1.58032913241312,-0.61260078669404,0.139959793760038
"elt",0,0.00833561572072965,0.120645094197247,-0.0798582585197827,1.51067399404387,-0.611543131090179,0.138913007053399
"elt",0,-0.0308378996568254,0.127451555607844,-0.0778767176736192,1.83514163115166,-0.565646499912564,0.145458010620301
"elt",0,-0.0232943504350043,0.128821154461622,-0.0798285226747825,1.77367213950983,-0.573505373309934,0.146047193973381
"elt",0,-0.0153261938948765,0.129129070858974,-0.0807195082216704,1.7101963016235,-0.579097148985755,0.145865182098726
"elt",0,-0.00724919644270144,0.128689660403716,-0.0807156973861164,1.64540766046757,-0.5824725763749,0.145213222837882
"elt",0,0.000689891310386229,0.12773003949217,-0.0800824432047376,1.57995165197557,-0.583681003690254,0.144269903971191
"elt",0,-0.0305693256276343,0.134131297948202,-0.0779321581673212,1.82118570447647,-0.541413685423718,0.150499414663508
"elt",0,-0.0228905906943257,0.135072529208515,-0.0794536720154876,1.76277785762272,-0.548166070780818,0.150501006595156
"elt",0,-0.0149163306943397,0.134984703071882,-0.0799970183076886,1.70268334873192,-0.552975037710655,0.149865410814641
"elt",0,-0.00693247149208329,0.134174239768348,-0.0797435201109207,1.6414827842289,-0.555894454724032,0.14887746576787
"elt",0,-0.0082749252398367,0.0857315108547799,-0.0759867610964646,1.6858648385093,-0.759446812751301,0.109773848710204
"elt",0,0.000429255174859186,0.0870916392430289,-0.0773244434926827,1.58433752074356,-0.763518202633564,0.110938580351558
"elt",0,0.00927740731194121,0.087852701555428,-0.0775162126918218,1.48239601582016,-0.761794178481575,0.11097988120034
"elt",0,-0.0168105176820777,0.0946294740758935,-0.0765480808182795,1.76756486724648,-0.709487752050403,0.117553451195366
"elt",0,-0.00854202588822195,0.0959891023451077,-0.0784763596125321,1.67641545417223,-0.717470926136738,0.119194237544644
"elt",0,0.000239248130546037,0.0968648775669604,-0.0793240093647279,1.58324481730176,-0.720652697786738,0.119850462753856
"elt",0,0.00903268165778309,0.0971383152303829,-0.079160008569097,1.48979946787884,-0.718987092965511,0.119561057455712
"elt",0,0.0175167198259688,0.0965523712261815,-0.0779615025467507,1.39781162481116,-0.712597042006593,0.118230069604926
"elt",0,-0.0248377252045362,0.102884822313272,-0.0761409167419815,1.8344699297076,-0.661867067498154,0.124488405819973
"elt",0,-0.0170876416801644,0.104684450173501,-0.0787771847705566,1.75285014927897,-0.672402235914557,0.126559628157198
"elt",0,0.0172663058269658,0.104901454898862,-0.0786696954202702,1.41100330998249,-0.674117780558361,0.125637590428412
"elt",0,-0.0323936331466591,0.109785350164365,-0.0747009300006608,1.88953262993154,-0.617075361671355,0.130500076855747
"elt",0,-0.0252139102747615,0.112533138173943,-0.0780522572359373,1.81652820708256,-0.629246623632689,0.133061471923702
"elt",0,0.0170297698173165,0.112469944073362,-0.0787092704115497,1.42238817796791,-0.638607677563348,0.132001997616397
"elt",0,-0.0393622675922353,0.115128483180878,-0.0722888252527788,1.93494468115119,-0.575355153073979,0.135458216045113
"elt",0,-0.0328768277960001,0.118963276284457,-0.0762723488727985,1.86975035751165,-0.588437003806355,0.138621146224998
"elt",0,0.0167921092344926,0.119157395978938,-0.0781436881664732,1.43235606384895,-0.605814879335736,0.137296418047292
"elt",0,0.0241620255251215,0.116508583754037,-0.075953871025182,1.36039256702727,-0.598947788123727,0.134624693059347
"elt",0,-0.0399320456053556,0.123799972549488,-0.0735745777327833,1.91425416749803,-0.550232677832429,0.143142505218698
"elt",0,0.0165352919655354,0.124909627890493,-0.0770661394000333,1.4411962393819,-0.575578882094197,0.141549928549756
"elt",0,-0.0400435769088034,0.13153299869846,-0.074208814196665,1.89552082067688,-0.526391088161718,0.149505959425796
"elt",0,0.00880555805342411,0.131984861317512,-0.0772975497059521,1.5141077443608,-0.550839891837192,0.146747324831584
"elt",0,0.0162459499569156,0.129728027966514,-0.0755859342935108,1.4491297193423,-0.547790658784791,0.14483808853517
"elt",0,-0.0397738028642282,0.138230511475346,-0.0742243626040125,1.87854642164444,-0.503826827489188,0.154589095801384
"elt",0,-0.0321799653023599,0.140603620263803,-0.0767564034540319,1.82189248030902,-0.511904593555164,0.155263860988656
"elt",0,0.0010478455478386,0.138222798570314,-0.0769787221634171,1.57948046332614,-0.52573517341303,0.150913534400309
"elt",0,0.0087290083603776,0.136127738714634,-0.0755320427863187,1.51763191886295,-0.52488021902661,0.149237308177698
"elt",0,-0.023281168640384,0.146001762336215,-0.0767440395490002,1.75323786233595,-0.494862049232276,0.157556335097358
"elt",0,-0.0149336533349729,0.145231109905513,-0.0768085656404345,1.6960296274571,-0.498650283429001,0.156116059300772
"elt",0,-0.00672234290314656,0.143706040691662,-0.0761504018740038,1.63796248546026,-0.500963038349848,0.154465991295745
"elt",0,0.000888795003479971,0.0736648901318773,-0.0735437203233806,1.58748237480949,-0.826590978138699,0.097812697688461
"elt",0,0.0103395965474534,0.0749784206661182,-0.0742393890619828,1.46234432584595,-0.824111961980731,0.0983483310480923
"elt",0,0.0193068902659875,0.07481232530264,-0.073449896566937,1.34046739133664,-0.813317176467375,0.0974940179499811
"elt",0,-0.0171765687105914,0.0809603196229,-0.0720764635389557,1.80662886406591,-0.75846162283598,0.104078839801209
"elt",0,-0.00892380415740116,0.0829355760873765,-0.075047261200617,1.69798814116283,-0.77002256783704,0.107053757397537
"elt",0,0.000400065862909992,0.0845759594929418,-0.0766982609812545,1.58590059418568,-0.774805703941104,0.108562186322615
"elt",0,0.00995325993390583,0.0855213747431815,-0.0769738375779216,1.47325101609634,-0.772561227759763,0.108696239446932
"elt",0,0.0190644267228113,0.085118908699457,-0.0758812634379197,1.36303418764122,-0.763451762064339,0.107465537793385
"elt",0,0.0273493386595888,0.0831126572794016,-0.0736942146146409,1.25795207705598,-0.748279481698015,0.105413635721617
"elt",0,-0.0254267188796905,0.089773846975502,-0.0718515475111205,1.88090105867062,-0.700133391751771,0.111612421588874
"elt",0,-0.0180242144506638,0.0923567662911746,-0.075567476328813,1.78607893071325,-0.714989876452118,0.11528754150444
"elt",0,0.0187901409055723,0.0948858058930146,-0.0775182635403849,1.38153694529878,-0.717985464945512,0.116603331937178
"elt",0,0.0271217995232217,0.0925692647708276,-0.0751176251127172,1.28500787535332,-0.705005615518076,0.114030898119152
"elt",0,-0.0331049773769116,0.0971433522916665,-0.0705175543380059,1.9397380249257,-0.646215069669397,0.118153719352919
"elt",0,-0.0265097839292168,0.100950627263513,-0.0749801579026011,1.85688186090484,-0.662916698615599,0.122544936924517
"elt",0,0.0267678829188899,0.101303003923468,-0.0758321046774113,1.30782679151727,-0.665183624712069,0.121776020515734
"elt",0,0.0341811975250676,0.0971077168383574,-0.0725026747074958,1.22333497523683,-0.650523347815962,0.117852157391328
"elt",0,-0.0401517215146271,0.10277379786344,-0.0681410938007244,1.98664129638288,-0.596867719162014,0.12356156185764
"elt",0,-0.0344258312018565,0.107910471632096,-0.0732127692830327,1.91417832773851,-0.614319370597019,0.128709634300567
"elt",0,0.0263279758316231,0.109178897786175,-0.0758472968153156,1.32739655589398,-0.628475251239062,0.128500219005679
"elt",0,0.0336210833832742,0.10469425425561,-0.072448598878625,1.24855273000965,-0.615902709646789,0.124164665520225
"elt",0,-0.0416316146333093,0.113067997953414,-0.0703924652693449,1.96067687334616,-0.569435511128779,0.133648176761742
"elt",0,0.0258185946259411,0.116112350186338,-0.0752425402991041,1.34444088666245,-0.594620932946473,0.13413749547669
"elt",0,0.0329270781648481,0.111418138428366,-0.0718751567026769,1.27062252319439,-0.58391695188427,0.129579266510353
"elt",0,-0.047976695612606,0.116516924381552,-0.0668882973609639,1.99837166605874,-0.52839078275553,0.137378116704388
"elt",0,0.0321329286689198,0.117242201107092,-0.0708539464673961,1.29015485832791,-0.554434599954213,0.134066463845095
"elt",0,-0.0488755992438813,0.12542050511644,-0.0681374526276678,1.97494413921212,-0.505792026784643,0.145502784148814
"elt",0,0.024627802887922,0.126918609746915,-0.0724836870243713,1.37288071482076,-0.534908828820554,0.142091187204982
"elt",0,-0.0542235390944139,0.126910229609361,-0.0640151380986762,2.00575085343712,-0.471622623880025,0.14753078393015
"elt",0,-0.0491734936588323,0.133308668615701,-0.0687660944023053,1.95349666545216,-0.484205878284573,0.152160576650005
"elt",0,0.023956958375601,0.130857595596832,-0.0705879863744587,1.38490514543323,-0.508866091481323,0.144587726261853
"elt",0,-0.0545234400149895,0.134262270872867,-0.0645065999441249,1.98449630917036,-0.452882775809875,0.15374348020077
"elt",0,-0.0489427620320883,0.140061590943265,-0.0687787616599459,1.9338572011005,-0.463656316552081,0.157358587342607
"elt",0,0.016508927145532,0.137465848675941,-0.0706344275625117,1.45594298290159,-0.489065317191024,0.149139001645008
"elt",0,-0.0482998297256097,0.145668260980482,-0.0682681799601961,1.91594245841728,-0.444267034448996,0.161237331821196
"elt",0,-0.0410168376540184,0.149220271657637,-0.071267314686318,1.8638335846416,-0.452059034435575,0.162252224949429
"elt",0,-0.0328127920831312,0.150987334271019,-0.0732087662240908,1.80931774592165,-0.458311305823294,0.161832858714525
"elt",0,-0.024143534230115,0.151072320650628,-0.0740120924267547,1.75312046070728,-0.463077936846156,0.160414645018466
"elt",0,-0.0153784928372843,0.149921097758764,-0.0738750762859313,1.6957918367839,-0.466478572994037,0.158484896593641
"elt",0,-0.00680723393171252,0.147976815765304,-0.0730417183210022,1.63770362240437,-0.468575568315668,0.156405024743212
"elt",0,0.00135129250914059,0.145550447220645,-0.071734860524195,1.57919957096781,-0.469363399622638,0.154346643256503
"elt",0,0.00898025394571735,0.142822168048369,-0.0701317592936108,1.52067602624498,-0.468824997790428,0.152294242008096
"elt",0,0.00177847992038283,0.057960591761649,-0.0677576490598435,1.59232927923113,-0.910148040546056,0.0813853184411142
"elt",0,0.0116265011680589,0.0596857756609995,-0.0691355216256207,1.43069449477041,-0.906141927373967,0.0826579939514904
"elt",0,0.0207338411881665,0.059599776517559,-0.0686451870455234,1.27591293772748,-0.889272654098216,0.0825890441465888
"elt",0,0.0286492780439617,0.0578832265655697,-0.067067613809198,1.13442093393386,-0.862013796475218,0.0826989997967484
"elt",0,0.0354929012495781,0.0550881386729262,-0.0650209236702212,1.00952047157544,-0.827461850969121,0.0832435199290087
"elt",0,-0.00869753992230655,0.0676353282461795,-0.0696126778420758,1.73014234990115,-0.83780997232096,0.09133477975148
"elt",0,0.000976513970061176,0.0699139205684085,-0.0722796468011569,1.58982452447282,-0.845303500842993,0.0939854508229118
"elt",0,0.0111781361446055,0.0714219733107542,-0.0731478177665212,1.44841844486491,-0.842030313482774,0.0947005111081334
"elt",0,0.0207433508239616,0.0711257995097953,-0.0722458220549149,1.31170678312474,-0.828323068146855,0.0938635726201972
"elt",0,0.0292008158980186,0.0690766743257251,-0.0701694119798311,1.18440143271571,-0.805976943196599,0.0927401986483215
"elt",0,0.0365048849976953,0.065660903053238,-0.0674989410703995,1.06927712262311,-0.777320199735026,0.0917123105603022
"elt",0,0.042789268786721,0.061552723961795,-0.0645744542772218,0.96728461235193,-0.744704162484472,0.0907735221562667
"elt",0,-0.0182262969321245,0.0774145226572612,-0.0702793037647098,1.83314068943078,-0.767697659289105,0.100112413113005
"elt",0,-0.00964556833764204,0.0798114162503291,-0.0739014410067877,1.71278897026644,-0.781841734832631,0.103917598703216
"elt",0,0.0293272008383771,0.0799506974804861,-0.072572622112007,1.22426312060539,-0.754663230925242,0.102627657802619
"elt",0,0.0369625098396242,0.0759902114613465,-0.0694169689230928,1.11814860309628,-0.73058261134947,0.100219588979463
"elt",0,0.0435045903672234,0.071184675423263,-0.0659937375012203,1.02229078839028,-0.703036336902935,0.0978964099895049
"elt",0,-0.0322643605459485,0.0816175498644176,-0.0643226988133796,2.00623025308112,-0.679360882265274,0.101214342520741
"elt",0,-0.0268574533998234,0.086555221648667,-0.0698890196544233,1.91154076491484,-0.702667363801753,0.107933160130649
"elt",0,0.036966439745638,0.0857747060256084,-0.0706826038816788,1.15868975890569,-0.68728104607532,0.108375832681092
"elt",0,0.0436860321735393,0.0803993153045423,-0.0669023876479979,1.0688489132521,-0.663891490122633,0.104835703577574
"elt",0,-0.0348308400326948,0.0939126315103578,-0.068226598734475,1.9721455726877,-0.643346015042937,0.114592437867167
"elt",0,0.036615941902385,0.0948022881202112,-0.0712346942776899,1.19281745911879,-0.647274155357903,0.115893998166817
"elt",0,0.0434073816758883,0.0889743821665479,-0.0672628770397437,1.10865397161778,-0.627363475311224,0.11136297045808
"elt",0,-0.042050089470509,0.0992539972569067,-0.0654586939874659,2.01936788310574,-0.589775736197966,0.119954743654194
"elt",0,0.0427632405260116,0.0967728653160007,-0.067091788704665,1.143052382334,-0.593433880471022,0.117301926168456
"elt",0,-0.0483157919044172,0.102818570161279,-0.0619592813029246,2.05619176896146,-0.541819265949764,0.123986561988083
"elt",0,0.0418510863930455,0.103721674445217,-0.0664595814380701,1.1730994480022,-0.562035968464694,0.122533747724685
"elt",0,-0.0503852796241665,0.113443874612229,-0.0640711514089635,2.02750565242205,-0.517686854888001,0.134734857583875
"elt",0,0.0407518827248869,0.109792408174452,-0.0654479115802489,1.19961191590652,-0.533086797299564,0.127000398892425
"elt",0,-0.0555446264325662,0.115020241259173,-0.0598121751629705,2.0571867991574,-0.478505723964753,0.136841408193655
"elt",0,0.033286161675752,0.121445760776858,-0.0677916196356136,1.28917484571418,-0.516575580415082,0.136658000624695
"elt",0,-0.0568244008622173,0.124118829847101,-0.0609979755142673,2.03173100806589,-0.458643602716342,0.145422891171094
"elt",0,0.0322058582771722,0.12565604355283,-0.065976987082253,1.30681414258263,-0.490554535454601,0.139453605214281
"elt",0,-0.0573768066719518,0.132189295190887,-0.0616400285620229,2.00816964601501,-0.439587601076828,0.15245280942839
"elt",0,0.0310907845250954,0.12898610604761,-0.0639844671627306,1.32267236298044,-0.466976273104788,0.141433600270285
"elt",0,-0.0572813563761748,0.139107472417301,-0.0617504308100495,1.98638150846471,-0.42139148359597,0.15794237574818
"elt",0,0.0170200186063193,0.140303169803394,-0.0665454994681723,1.4556281443809,-0.453836374508195,0.149916787666056
"elt",0,0.0238066593162011,0.136315031362882,-0.0643599074534889,1.39540682976547,-0.450393943185528,0.146779537001778
"elt",0,-0.0566515192409345,0.14483224000382,-0.061389745186869,1.96632452814228,-0.40419049923644,0.161996362648684
"elt",0,-0.0503837505091041,0.150274747698441,-0.065083729332443,1.91676996941267,-0.41248892709074,0.164548074487875
"elt",0,-0.0426948435604896,0.153875013230587,-0.0679179835233956,1.86409057259878,-0.419402616054899,0.165194565800187
"elt",0,-0.0340333004069371,0.155486479028158,-0.069678118399389,1.80917335755232,-0.424929749393486,0.16426439925735
