"","time_from_bl","x","y","z","theta","phi","r"
"1",0,-0.00966873502084494,0.099072943652044,-0.086268599740737,0.53157134589641,-0.462159873306455,0.589267696318374
"2",0,-0.00112172647384147,0.099072943652044,-0.086268599740737,0.504177534124823,-0.463658016479096,0.587699554151751
"3",0,0.00742528207316909,0.099072943652044,-0.086268599740737,0.476730426395992,-0.462781013839082,0.588616136501629
"4",0,-0.0182157435678554,0.10682488163654,-0.086268599740737,0.554391858362679,-0.43515141235566,0.619635044446481
"5",0,-0.00966873502084494,0.10682488163654,-0.086268599740737,0.529334322047766,-0.438388176839181,0.6157743857598
"6",0,-0.00112172647384147,0.10682488163654,-0.086268599740737,0.503915738344079,-0.439660700242658,0.614273914620881
"7",0,0.00742528207316909,0.10682488163654,-0.086268599740737,0.478454594168251,-0.438915943905703,0.615150902123697
"8",0,-0.026762752114866,0.114576819621036,-0.086268599740737,0.57369379626015,-0.409466221456385,0.652677388423336
"9",0,-0.0182157435678554,0.114576819621036,-0.086268599740737,0.550812563170388,-0.413820973575481,0.646756860834608
"10",0,-0.00966873502084494,0.114576819621036,-0.086268599740737,0.527397696968388,-0.41659282887677,0.643059050856376
"11",0,-0.00112172647384147,0.114576819621036,-0.086268599740737,0.503689363607811,-0.417680786215971,0.641622389660855
"12",0,0.00742528207316909,0.114576819621036,-0.086268599740737,0.479946507367735,-0.417044171753093,0.642462046438576
"13",0,-0.0353097606618765,0.122328757605532,-0.086268599740737,0.590119262214604,-0.385418928307087,0.688009428048124
"14",0,-0.026762752114866,0.122328757605532,-0.086268599740737,0.569206478280359,-0.390434408127468,0.680249803077149
"15",0,-0.0182157435678554,0.122328757605532,-0.086268599740737,0.547676384164553,-0.394195353866969,0.674571314439052
"16",0,-0.00966873502084494,0.122328757605532,-0.086268599740737,0.525704887475743,-0.396583092560203,0.671026798358826
"17",0,-0.00112172647384147,0.122328757605532,-0.086268599740737,0.503491676891334,-0.397518968391849,0.669650141597461
"18",0,0.00742528207316909,0.122328757605532,-0.086268599740737,0.481250079489311,-0.396971434086109,0.670454698202225
"19",0,-0.0353097606618765,0.130080695590029,-0.086268599740737,0.585036368730382,-0.368482199584396,0.715900947622959
"20",0,-0.026762752114866,0.130080695590029,-0.086268599740737,0.565230895620106,-0.372850150410319,0.708446884608044
"21",0,-0.0182157435678554,0.130080695590029,-0.086268599740737,0.544906340858144,-0.376115259237004,0.702996196283005
"22",0,-0.00966873502084494,0.130080695590029,-0.086268599740737,0.524212656672437,-0.378183596101761,0.699595710278472
"23",0,-0.00112172647384147,0.130080695590029,-0.086268599740737,0.5033175499147,-0.37899330145614,0.698275379678994
"24",0,-0.0353097606618765,0.137832633574525,-0.086268599740737,0.580487966264784,-0.352763599327023,0.74436317280528
"25",0,-0.026762752114866,0.137832633574525,-0.086268599740737,0.561685284111435,-0.356585088443973,0.737196957761042
"26",0,-0.0182157435678554,0.137832633574525,-0.086268599740737,0.542442206735327,-0.359433876222178,0.731960393880479
"27",0,-0.00966873502084494,0.137832633574525,-0.086268599740737,0.522887404295108,-0.361234997136029,0.728695083050059
