"","time_points","","","","","",""
"out",0,-0.00776135699381678,0.103303600636226,-0.0782899540133785,0.530291826061259,-0.414229322826244,0.558524104599134
"elt",0,-0.000493379816881519,0.102921270988787,-0.0779494632374708,0.507727330006165,-0.41559798026036,0.555877978645606
"elt",0,0.006811686434806,0.102749365585149,-0.0773165527666016,0.484961156108383,-0.413857551529146,0.554533597007491
"elt",0,-0.0155645675072573,0.110116086787066,-0.0784958925458498,0.548927350394952,-0.392543102023376,0.588831927804322
"elt",0,-0.00870537536582816,0.109702865336494,-0.0785929140590498,0.529339399327801,-0.396381169367518,0.585472635179366
"elt",0,-0.00147889860338885,0.109441116962431,-0.0782484387122755,0.508414610624112,-0.39722639696129,0.582877960625165
"elt",0,0.00575990268162414,0.109337052265146,-0.0775584864912375,0.487401428760667,-0.395179821692324,0.58121642896149
"elt",0,-0.0223692745255563,0.116716057291813,-0.077114531118768,0.56228039881121,-0.367675116323259,0.617483374494557
"elt",0,-0.0163590636070205,0.116202326866849,-0.0778748510108446,0.546470780251409,-0.373984858029716,0.613768344792931
"elt",0,-0.00966468688539643,0.115883381026039,-0.0780559709305142,0.528417849217534,-0.37739743450872,0.610590919622895
"elt",0,-0.00263100169201254,0.115683108503501,-0.0777427690805232,0.509249940277928,-0.377966786385861,0.607884361396182
"elt",0,0.00438750755977759,0.115584138586526,-0.0770373484454048,0.490085566032392,-0.375890713542692,0.605737849345901
"elt",0,-0.0286656760568847,0.123278316432642,-0.0743146773767124,0.572811879854317,-0.339743041747454,0.64500371350667
"elt",0,-0.0232034630858362,0.122518124551158,-0.0756567589239342,0.559589194862346,-0.348327582304349,0.640441866486069
"elt",0,-0.0172321807185299,0.122034097560551,-0.0764628707493433,0.54459880927618,-0.354267070260588,0.636678399670367
"elt",0,-0.0107750899315692,0.121728373892011,-0.0767077872918918,0.528052540964852,-0.357459535998694,0.633364783179788
"elt",0,-0.00407447000664361,0.121516970947229,-0.076447557960972,0.510724262626908,-0.358023419291522,0.630326636272445
"elt",0,0.00255600686961473,0.121356353056572,-0.0757764145615989,0.493530216766928,-0.356241354749249,0.627540740109817
"elt",0,-0.0296421830592656,0.128544008245158,-0.0723475999279929,0.570750622456149,-0.320750355362584,0.665146748260228
"elt",0,-0.0241849204724349,0.127869043425809,-0.0736214756076958,0.557935407571799,-0.328603451676748,0.660720083405875
"elt",0,-0.0183543265545969,0.12739622375856,-0.0744140242452575,0.543871804228642,-0.334130488670153,0.656816852883341
"elt",0,-0.0122136146581809,0.12705624584989,-0.074696672995438,0.528813853348059,-0.337232925821228,0.653194737889311
"elt",0,-0.00595603565470711,0.126777307379584,-0.0745068050015452,0.513336806769189,-0.338040346187225,0.649684750057092
"elt",0,-0.0307449870089576,0.133134908745268,-0.0700033215340171,0.569847575743558,-0.302203457151749,0.681891668959657
"elt",0,-0.0254300055770682,0.132541331643634,-0.0711828453270425,0.557676319279376,-0.309333516078163,0.677615254802779
"elt",0,-0.0198551313082061,0.132073315685166,-0.0719423325249709,0.544665064105513,-0.314505159933706,0.673585659150126
"elt",0,-0.0141095890801465,0.131684032287182,-0.0722602616411416,0.531081593710822,-0.317649799631111,0.669657443641131
"elt",0,-0.00628389081078161,0.0889218953649017,-0.075222295633373,0.5335103625412,-0.450308221608921,0.495677381509718
"elt",0,0.0012939093158627,0.0882846515509315,-0.0750270482680302,0.505162731485164,-0.453336839816668,0.493195027176005
"elt",0,0.00891537710587788,0.0879200153006264,-0.0746000439304414,0.476621366194161,-0.452446806450708,0.492680901211063
