"","time_points","","","","","",""
"out",0,-0.0684654377794732,0.686028181492604,-0.778822640379406,1.7267793493611,-0.871544936697939,0.995971332664163
"elt",0,0.0130496794322925,0.682492298638313,-0.77987163494031,1.60491321697743,-0.881555003549738,0.99086897082364
"elt",0,0.0931673120683756,0.679894926779666,-0.771414828988992,1.48196919767117,-0.876650428741916,0.985957257127786
"elt",0,-0.151772489901742,0.734568581402986,-0.780430040494546,1.8272320400071,-0.823744812209055,1.04108617018968
"elt",0,-0.0711190080088889,0.730560094732523,-0.788899421317587,1.71888444721402,-0.84492477440017,1.03447342920399
"elt",0,0.0104007925356133,0.727863114434884,-0.787300841726042,1.60426055576032,-0.851548678765863,1.02825487456687
"elt",0,0.0901661847127558,0.725220762232138,-0.776397411801329,1.48997404947969,-0.844836900734387,1.02153492193982
"elt",0,-0.231160269260952,0.782638561532488,-0.774063184432785,1.90790900376272,-0.768669167185745,1.08684667195502
"elt",0,-0.154075216426537,0.778760570748855,-0.789912828947837,1.81479791076498,-0.798734613523613,1.07929672076064
"elt",0,-0.0732358372427259,0.775942928200513,-0.795720299915371,1.71135514752166,-0.815879004020186,1.07195437650295
"elt",0,0.0079632877597759,0.773392772035464,-0.790974851803151,1.60378400294583,-0.819270563798576,1.06398423935345
"elt",0,0.0868671510501373,0.769705341936332,-0.777403131810133,1.49774729201212,-0.811268823860602,1.05467683966653
"elt",0,-0.302553451211506,0.826976857801777,-0.75780652071494,1.96983053052443,-0.709226991108167,1.12872952731401
"elt",0,-0.23258400251953,0.825617379424358,-0.7811426361931,1.89267409660889,-0.744534612402115,1.12306174033972
"elt",0,-0.155582520221727,0.823534961821156,-0.795223151996244,1.80289442503696,-0.770632814603284,1.1157900608333
"elt",0,-0.0749847296275307,0.82118299563341,-0.797674790336202,1.70461761271194,-0.783700814942539,1.10705175561859
"elt",0,0.00522283841890545,0.817458049578258,-0.789470230802336,1.60426215645301,-0.78456630502147,1.09633577656908
"elt",0,0.0825947526534858,0.811342737969252,-0.773572965542382,1.50611531179884,-0.776502132034448,1.08362915625563
"elt",0,-0.300801263318828,0.865018373468483,-0.759852049017157,1.95223237791716,-0.686560755188828,1.15852662677234
"elt",0,-0.232464935169716,0.867436424165859,-0.782596285040438,1.87792493293413,-0.717273273792542,1.15550542937467
