"","time_points","","","","","",""
"out",0,0.0607030699609824,-0.0969277034423388,-0.0478762828349375,-1.02533677619366,-0.412554886156996,0.1267517645317
"elt",0,0.0676202412060436,-0.095343116698639,-0.0472588016232198,-0.966232907224336,-0.398077146891576,0.128607863614671
"elt",0,0.0735953612872519,-0.0934210035796865,-0.0463824695356188,-0.911810877332015,-0.38324079011899,0.12982398426799
"elt",0,0.0545267643266963,-0.0940610484430689,-0.0496812272530297,-1.0598487545898,-0.448014390843417,0.122262632482204
"elt",0,0.0622804881560027,-0.0928394563429229,-0.0492236483577573,-0.993822558812071,-0.432164998126261,0.124750689393958
"elt",0,0.069097482739527,-0.0912148876640084,-0.0484732213221564,-0.93313477228113,-0.41562411517662,0.126564241381811
"elt",0,0.0748346666072556,-0.089204532758195,-0.0473827193766618,-0.877752924566072,-0.398796418053222,0.127609017277221
"elt",0,0.0559221355068878,-0.0894391562675662,-0.0510372039146967,-1.02709429983739,-0.471241364256458,0.119792532869518
"elt",0,0.0636225593821796,-0.0881933812093042,-0.0504721372062937,-0.958845793013636,-0.452940958945222,0.122286706468545
"elt",0,0.0702358917182684,-0.0864997472854228,-0.0495151886234229,-0.896726315743501,-0.434017781165474,0.123964601933175
"elt",0,0.0755936729718301,-0.0843450170445976,-0.0480986419291181,-0.840660957955357,-0.414935632820498,0.124699620795653
"elt",0,0.0570645109113812,-0.0842006772853395,-0.0522732338756435,-0.990265732858797,-0.496005360310878,0.116827071473407
"elt",0,0.064601920766158,-0.08289687280449,-0.0515290949248995,-0.919919218335336,-0.474826115679852,0.119223370877364
"elt",0,0.0708782430710558,-0.0810932896047908,-0.0502535922674375,-0.856625641065394,-0.453166939372919,0.120637767941524
"elt",0,0.0450349295441581,-0.10729536754198,-0.0446423044355725,-1.18113674070236,-0.380168256974646,0.127394226902853
"elt",0,0.0534136554783648,-0.106073751610562,-0.0443575731747687,-1.11557947347478,-0.369945114676403,0.129790421860787
"elt",0,0.0612044739318917,-0.104471735243485,-0.0439215222964754,-1.05397322891388,-0.358793884968271,0.131825762980499
"elt",0,0.0682385678178374,-0.102552604445402,-0.0433221718470954,-0.996451591143077,-0.34702547916531,0.133408806115404
"elt",0,0.0743711312659922,-0.100332394709275,-0.0425301372930359,-0.943081826103076,-0.334933698242963,0.134436370738832
"elt",0,0.0376648125728852,-0.104666649297997,-0.0462935861876343,-1.2304773671893,-0.411175628740645,0.122821998179124
"elt",0,0.0467631666820624,-0.103989446702883,-0.046186578920061,-1.15773403018442,-0.400686335698416,0.12579101940628
"elt",0,0.0553699139297254,-0.102785807589371,-0.04588425848451,-1.08931832986364,-0.388814904200461,0.12839900385095
"elt",0,0.0762410162823787,-0.0968684361691218,-0.0437560309403085,-0.911718330573484,-0.348783868139137,0.133030902909605
"elt",0,0.029345534221049,-0.100682511929451,-0.0476554883067551,-1.28912622220376,-0.445604532889587,0.116976883920292
"elt",0,0.0390830990685747,-0.100814896453806,-0.0478546709777822,-1.20796199515702,-0.435317458356987,0.120609076745587
"elt",0,0.0484982950016866,-0.100209266891586,-0.0477581376505416,-1.13145740650155,-0.422991069049392,0.123898695515519
"elt",0,0.0821629854616728,-0.0899393302264606,-0.043322810965587,-0.827361181173867,-0.347944545899723,0.130839794878081
"elt",0,0.020185139047999,-0.0949327092858882,-0.0484564604192723,-1.35945204612161,-0.483327823220214,0.109711730069284
"elt",0,0.0303511343701747,-0.0961412167251922,-0.049178925080543,-1.26848249799008,-0.474027348636362,0.113968936363477
"elt",0,0.0404973345250621,-0.0964206481106272,-0.0494168293130934,-1.18233306336489,-0.461766003645413,0.118054981070609
"elt",0,0.0501931414098581,-0.0958936038462053,-0.0493324830069813,-1.10178226275288,-0.447213032498609,0.121666687933347
"elt",0,0.0790091449934639,-0.0882757746870112,-0.0457748999176665,-0.840224314138381,-0.378333896596692,0.128626333111706
"elt",0,0.0105570310634271,-0.0875810427672766,-0.0485182491320576,-1.44441377177169,-0.523986349841305,0.101627888542473
"elt",0,0.0206913622927714,-0.0895783832833766,-0.049898317206783,-1.34218921531799,-0.516733779417365,0.105748767183343
"elt",0,0.0313402699245834,-0.0909955235019015,-0.0506657181725856,-1.24459876457065,-0.505448993236621,0.110568558729896
"elt",0,0.0418639009292973,-0.0914328885486455,-0.0509500940572422,-1.15293936669353,-0.490736817369609,0.115127700540818
"elt",0,0.0517748525245941,-0.090965615967682,-0.0508691706745966,-1.06806253280516,-0.473466875081046,0.119020950083364
"elt",0,0.0794334039972067,-0.082783632071294,-0.0461967388885407,-0.79957834834505,-0.393872276771164,0.125072635979514
"elt",0,0.0106110922026857,-0.0815209510155353,-0.0498346762568465,-1.43286179710353,-0.563114139985211,0.096877112527155
"elt",0,0.0211656730886018,-0.0835445477473447,-0.0512495888537471,-1.32183127015655,-0.554064310950379,0.101318299263291
"elt",0,0.0322828818734097,-0.0852270837488876,-0.0520779569724364,-1.21668864841965,-0.540240388699958,0.106790501953185
"elt",0,0.0431126636459416,-0.0857852674141986,-0.0524081519145654,-1.11894544165043,-0.522447488696927,0.111773800382044
"elt",0,0.053134550785352,-0.0853281390404847,-0.0523029453704969,-1.02950637419243,-0.50183103236398,0.115852467776603
"elt",0,0.0619920468788836,-0.0840922797339836,-0.0517189124037276,-0.948630650613021,-0.479459536579574,0.118893873405696
"elt",0,0.0694158480298972,-0.0822250768738231,-0.0505430397763593,-0.876156049216148,-0.456197649077859,0.120796939860204
"elt",0,0.075155114366634,-0.0796966547702218,-0.0486606318408143,-0.811775818155266,-0.432731200965969,0.121371502146731
"elt",0,0.0014755762913122,-0.0258490885096146,-0.0495959906454097,-1.50435781905248,-1.07038216652686,0.0560559160637007
"elt",0,0.00990635558989655,-0.026163311486445,-0.0510486452761973,-1.19054359931159,-1.03961089602915,0.0591478405265765
"elt",0,0.0190977462279914,-0.0259609176727204,-0.0518516479302359,-0.938359679823498,-0.976179651813731,0.0631312989385814
"elt",0,-0.0048783050555096,-0.0186146910462717,-0.0481266971561523,-1.92038414229773,-1.16906002119284,0.0521620225014628
"elt",0,0.00167947642833798,-0.0189904718501734,-0.0488808637671733,-1.4800963668396,-1.18965600152063,0.0524014983288911
"elt",0,0.00898272721651441,-0.0181728237253318,-0.0497632640463717,-1.07070914289028,-1.14388377511348,0.0547285270558031
"elt",0,0.0174270514971408,-0.0172280173958595,-0.0495890117681706,-0.784491973261304,-1.05633536983858,0.0571150315421201
"elt",0,0.00168649712925335,-0.0128580246981842,-0.0484472363162891,-1.42807625741424,-1.32097243580166,0.049356185838689
"elt",0,0.00809257484681357,-0.0104638368079096,-0.0481356839403099,-0.858630268382562,-1.24853501213302,0.0501312811807209
"elt",0,0.0168872071647843,-0.00996745241477623,-0.0476547009162405,-0.563499353516508,-1.12873247769728,0.0512486980475786
"elt",0,0.0447977254588853,-0.114139300446327,-0.0402066440949212,-1.20230944819323,-0.324442443988515,0.131930242180064
"elt",0,0.0530821417197541,-0.112567381123279,-0.0398710032433345,-1.13942844310453,-0.316324862986264,0.133876846106773
"elt",0,0.0608409941882039,-0.110643119990251,-0.0394157294951933,-1.07997465937047,-0.307455662242674,0.135539305117178
"elt",0,0.0679096677811681,-0.108444549092074,-0.0388395219082901,-1.02410966549436,-0.298069990271406,0.136843349310806
"elt",0,0.0285806529376462,-0.113144784062128,-0.0419220887195259,-1.32326126075646,-0.356917328805101,0.125893777249125
"elt",0,0.0377641167768489,-0.112779774754848,-0.041966904028775,-1.25066749443062,-0.350039987872826,0.128583791986907
"elt",0,0.0764405922564105,-0.103178914009448,-0.0393679572790429,-0.943097591421447,-0.300332713542192,0.136894439384587
"elt",0,0.0108501861723235,-0.106946316623736,-0.0416555737192348,-1.46972145751757,-0.388145976419421,0.11671017112596
"elt",0,0.0201864496862005,-0.109486585441112,-0.043024104179541,-1.3874678188498,-0.384551894331834,0.120817200530268
"elt",0,0.029799847215745,-0.110313554920244,-0.0435833587884359,-1.30748946847739,-0.378512815047465,0.124222280019169
"elt",0,0.0832142106601182,-0.0967575842822928,-0.039284757577712,-0.861804017009356,-0.300546461343099,0.135425779770754
"elt",0,0.00184863916938596,-0.100261942348645,-0.0415326944151099,-1.55249957832225,-0.415417818266665,0.11018131089228
"elt",0,0.0111360643774528,-0.103718391026506,-0.0433461896938698,-1.4628445273432,-0.414044543438075,0.114317877522071
"elt",0,0.0209448503421979,-0.106129079171911,-0.0447286906067778,-1.37476242192383,-0.409728767131392,0.118494722352051
"elt",0,0.0845835790238705,-0.0926620661623892,-0.040106325117108,-0.827076958057917,-0.312204939070783,0.133325477164194
"elt",0,-0.00730165608247249,-0.0924112241070443,-0.0411105072803633,-1.64841037402122,-0.442924583752854,0.103496075431355
