"","time_points","","","","","",""
"out",0,-0.00381072997196284,0.0897448659729717,-0.0688360304436798,1.66712274223013,-0.706302642417677,0.106115072250043
"elt",0,0.00306695277796377,0.0904331979821247,-0.0700966606077609,1.58188898354497,-0.709529577374917,0.107447071530469
"elt",0,0.00984787225322555,0.0899813168126871,-0.0709457266227445,1.49642515030843,-0.70849691348635,0.107915935657179
"elt",0,-0.0113294892546062,0.096289492066607,-0.0685056082007435,1.73831782546184,-0.663845481659483,0.112036706563127
"elt",0,-0.0042398807714161,0.0976309810815315,-0.0697680528905367,1.6604009962221,-0.670206677573291,0.113498515148455
"elt",0,0.00287809077434506,0.0981145567514756,-0.0708586693155751,1.58124029772929,-0.672950430957164,0.114396373723546
"elt",0,0.00982283215443228,0.0975413151689803,-0.0715780159491305,1.50194681612385,-0.672056343834242,0.114532493055444
"elt",0,-0.0190373431951154,0.102278310900146,-0.0679568076538379,1.7986055033896,-0.623138901788984,0.11790968740457
"elt",0,-0.011900123569056,0.103789766501862,-0.0691133790934201,1.72747192713841,-0.6314988602688,0.119119440181179
"elt",0,-0.00457043793742559,0.10486164262156,-0.070193357831887,1.65456465478146,-0.636926841016535,0.120086372574938
"elt",0,0.00273359055999284,0.105187214997162,-0.0711122917777609,1.58069548330789,-0.639258351087038,0.120588924087078
"elt",0,0.00981343089486124,0.104547612139016,-0.0716701826828122,1.50677504353087,-0.638472985003565,0.120410548231995
"elt",0,-0.0266507478323129,0.107942465777824,-0.0672330371307345,1.84995274903836,-0.584889468428446,0.123811975027225
"elt",0,-0.0196562700426386,0.109312507914262,-0.0682880852235845,1.7849675934364,-0.594352879759166,0.124599408538972
"elt",0,-0.0123045742836188,0.110548226722498,-0.0692664456018097,1.71792945065769,-0.601531305679987,0.125332166582303
"elt",0,-0.00480469122003352,0.111405347838821,-0.0701796899084119,1.64945556854995,-0.60618046001787,0.125874498596096
"elt",0,0.00263090092266689,0.111615086794689,-0.070935512708589,1.58023799974725,-0.608167258434735,0.126030963066294
"elt",0,0.00980721961079693,0.110947486300592,-0.0713338412426166,1.51104288211328,-0.607474380553491,0.125574923270444
"elt",0,-0.0272261980965064,0.114406559776022,-0.0673300338041484,1.8344800690372,-0.559333039016199,0.129977231318331
