"","time_points","","","","","",""
"out",0,-0.00647063806999296,0.0900835206006349,-0.0703120244298086,1.66725470473528,-0.707404539725044,0.110020065720349
"elt",0,0.000633479846317606,0.0908732322145398,-0.0713493447251417,1.58192318558448,-0.710457023376344,0.110879663615972
"elt",0,0.00767467316302003,0.0904851325058996,-0.0719835728449973,1.49637657078877,-0.709279118328273,0.11086853911231
"elt",0,-0.0140566808542932,0.0964025867011495,-0.0701678695004473,1.73847479311995,-0.665072293436927,0.11613929654777
"elt",0,-0.00685007193863046,0.0978324649026547,-0.0712307024024109,1.66045885646119,-0.671210256405661,0.117229680517547
"elt",0,0.000463117399135071,0.098414089346946,-0.072097323794282,1.58122375947773,-0.673769839793229,0.117716987793784
"elt",0,0.00764922895430452,0.0979264288272202,-0.0725938070757105,1.5018694538439,-0.672711488105464,0.117432778793039
"elt",0,-0.0216870322697159,0.102175088586265,-0.0697807642829858,1.79873843760453,-0.624495142825969,0.122003568919712
"elt",0,-0.0145590333457675,0.103760400036709,-0.0707702474619417,1.72752813476253,-0.632603724002728,0.122994222148247
"elt",0,-0.00715300100481672,0.10490518346641,-0.0716462462245777,1.65454944808501,-0.63782243209859,0.123672195003302
"elt",0,0.00030775560695058,0.10531882945897,-0.0723482419698414,1.58062130159921,-0.6399736821002,0.123847770008248
"elt",0,0.00759619919324366,0.104773026131227,-0.0726931432716753,1.50664749316567,-0.639020298813741,0.123345338028075
"elt",0,-0.0290825597183868,0.107596365794245,-0.0691823372405531,1.84999627570836,-0.586326109716451,0.127646588819751
"elt",0,-0.0222189536912039,0.109070312262645,-0.0701104450544762,1.78498257271893,-0.595546638825553,0.12841386351942
"elt",0,-0.0149162175775458,0.110366199212591,-0.0709104703098981,1.71789598900951,-0.602508386441157,0.129011104741721
"elt",0,-0.00738062160479448,0.111276118169293,-0.071622300159839,1.64937061958149,-0.606969423652037,0.129346476473971
"elt",0,0.000170299467086868,0.111557696992236,-0.0721748066029737,1.58010257582158,-0.608788207876338,0.129266322111725
"elt",0,0.00751667661130632,0.110981109817538,-0.0723822371973315,1.51085266100573,-0.607933820642953,0.128592191783184
"elt",0,-0.0295665854901841,0.11393632071843,-0.0692778735020191,1.83440142882626,-0.560568047996937,0.133518559221083
"elt",0,-0.022552552651015,0.115172552397731,-0.0700114486335432,1.77275613524949,-0.568574675677111,0.133949610080343
"elt",0,-0.0151428210002243,0.116224589518943,-0.0706534591010079,1.70937127309317,-0.574590389740651,0.134217953221461
"elt",0,-0.00753901657056506,0.11694121965626,-0.0712248800800374,1.64480583672412,-0.578432716545804,0.134270916024827
"elt",0,5.0112090412488e-05,0.117119033984516,-0.0716492424759085,1.57966131590614,-0.579986933932466,0.133983180922593
"elt",0,-0.0298202940366286,0.119489123838308,-0.0689720402050291,1.82042230624166,-0.536464640300241,0.138522326711786
"elt",0,-0.0227153249358585,0.120512807871694,-0.0695517708009894,1.76184415497505,-0.543457294515233,0.138664147821979
"elt",0,-0.0152567995068823,0.121357575871284,-0.070064799723914,1.70179490199058,-0.548697136230342,0.138658067589019
"elt",0,-0.00763729034587569,0.121913215491379,-0.0705191077101039,1.64076744145107,-0.55203834055222,0.138478398233561
"elt",0,-0.0064779572343352,0.0794839749578423,-0.0682707979441996,1.6852689051842,-0.756031221005267,0.0999114020802348
"elt",0,0.000773976683574415,0.0807588849255106,-0.0696346809326264,1.58404118446646,-0.760220778442939,0.10149578052869
"elt",0,0.00808866561376072,0.0805334379200937,-0.0704192741734296,1.48238519009989,-0.758507275655771,0.101923842017941
"elt",0,-0.0143265763543683,0.0864440620154384,-0.0685568617196396,1.76665940902001,-0.705143894387654,0.106670656937538
"elt",0,-0.00699642986255404,0.0885693299497905,-0.0699960343382261,1.67585256986308,-0.713440170793128,0.108592216087482
"elt",0,0.000584067600094329,0.0895503179316801,-0.0711609017705925,1.58301911912261,-0.716887440467225,0.109663020876985
"elt",0,0.00811710489360926,0.0891466673706873,-0.0718487992110237,1.48989414296831,-0.71536426025801,0.109702247866651
"elt",0,0.0154255400857402,0.0875896337131025,-0.071593568562393,1.39823810447521,-0.70916073709514,0.108845083153569
